NOx_EO,AIR Flow,Fuel flow,Gexh ,T4,N,MD,Power,Air to Fuel RATIO,Velocity,diff_pressure,LABEL
158.67,105.46,1.9,107.36,223.45,1024.4,-10.39,0,55.42,5,0.78,0
109.52,106.95,0.73,107.68,217.47,1008.2,2.53,0.27,147.09,10,0.57,0
66.74,107.73,0.29,108.02,212.44,1010.6,3.08,0.33,365.57,13,0.6,1
61.48,108.1,0.42,108.52,207.41,1011.6,7.77,0.82,255.16,17.5,0.7,1
87.8,108.36,0.63,108.99,203.15,1012,10.39,1.1,172.92,12.4,0.93,1
118.69,108.37,0.8,109.17,199.62,1011.6,10.85,1.15,135.47,123,2.5,0
125.33,108.57,0.91,109.48,198.69,1009.1,18.32,1.93,119.71,34,2.37,0
138.8,107.62,0.96,108.58,200.73,1006.7,7.82,0.83,112.34,15,1.3,0
146.24,110.32,1,111.32,202.78,1043.7,-20.96,0,110.8,64,2.8,0
147.04,122.63,1.19,123.82,204.82,1171.9,20.29,2.67,102.83,98,3.56,0
148.75,139.66,1.91,141.57,206.86,1427.9,-22.46,0,73.1,34,2.5,0
154.25,167,3.28,170.28,221.35,1735.7,210.96,38.51,50.97,28,2.37,0
255.26,168.64,5.07,173.71,232.58,1743.2,138.18,25.32,33.27,57,3.2,0
749.62,162.8,6.47,169.27,239.94,1755.7,135.71,24.87,25.15,63,2.5,0
663.46,154.23,6.7,160.93,244.08,1753.6,97.81,18.04,23.03,96,0.852,1
175.66,145.57,6.39,151.96,245.35,1751,120.83,21.73,22.77,17,0.57,0
138.79,147.19,5.86,153.05,246.91,1729.2,88.27,16.27,25.11,56,0.65,0
142.19,181.27,5.27,186.54,248.47,1779.8,93.33,17.41,34.38,27,0.78,0
134.85,148.59,5.16,153.75,248.39,1794.5,69.29,13.12,28.79,45,0.57,0
149.82,144.42,5.04,149.46,248.42,1823.4,102.1,19.56,28.63,67,0.65,0
269.15,153.02,4.9,157.92,251.71,1841.6,111.88,21.67,31.2,24,0.78,0
235.16,159.94,5.05,164.99,256.31,1865.8,101.26,19.95,31.65,57,0.234,1
161.46,159.82,5.36,165.18,258.48,1881.3,123.39,24.1,29.82,98,2.37,0
135.22,153.85,5.56,159.41,259.29,1866.5,93.72,18.37,27.65,99,1.3,0
130.82,153.49,5.51,159,260.27,1879.5,104.54,20.57,27.83,67,2.8,0
126.11,152.92,5.41,158.33,260.99,1880.6,102.58,20.18,28.27,26,0.23,0
129.77,153.35,5.31,158.66,261.61,1871.7,130.72,25.38,28.87,17.8,3.03,0
130.76,159.16,5.25,164.41,264.23,1847.6,134.21,25.91,30.32,17.3,3.2,0
128.74,168.92,5.32,174.24,268.38,1830.4,186.42,35.16,31.74,21.5,2.8,0
130.45,193.16,5.68,198.84,274.52,1794.4,186.17,34.97,34.02,24.2,0.23,0
138.9,225.26,6.35,231.61,281.48,1791.8,227.96,42.47,35.49,28.8,3.03,0
148.12,210.09,7.22,217.31,288.56,1779.8,217.95,40.62,29.1,17,3.2,0
154.58,208.94,8.03,216.97,295.35,1787.9,206.9,38.8,26,16,1.3,0
318.79,206.44,8.7,215.14,300.55,1799.8,205.57,38.83,23.74,78,2.5,0
219.49,207.38,9.08,216.46,305.73,1815,202.24,38.63,22.84,32,1,0
160.44,209.02,9.25,218.27,310.48,1830.3,204.9,39.28,22.59,15,2.3,0
155.33,204.36,9.35,213.71,313.19,1824.4,221.08,41.79,21.86,87,3.2,0
